,0,1,2,3,4
0,Fast and Accurate Image Matching with Cascade Hashing for 3D Reconstruction,"Image matching is one of the most challenging stages in 3D reconstruction, which usually occupies half of computational cost and inaccurate matching may lead to failure of reconstruction. Therefore, fast and accurate image matching is very crucial for 3D reconstruction. In this paper, we proposed a Cascade Hashing strategy to speed up the image matching. In order to accelerate the image matching, the proposed Cascade Hashing method is designed to be three-layer structure: hashing lookup, hashing remapping, and hashing ranking. Each layer adopts different measures and filtering strategies, which is demonstrated to be less sensitive to noise. Extensive experiments show that image matching can be accelerated by our approach in hundreds times than brute force matching, even achieves ten times or more than Kd-tree based matching while retaining comparable accuracy.",http://openaccess.thecvf.com//www.cv-foundation.org/,"Fast,and,Accurate,Image,Matching,with,Cascade,Hashing,for,3D,Reconstruction","Jian Cheng,Cong Leng,Jiaxiang Wu,Hainan Cui,Hanqing Lu,"
1,Predicting Matchability,"The initial steps of many computer vision algorithms are interest point extraction and matching. In larger image sets the pairwise matching of interest point descriptors between images is an important bottleneck. For each descriptor in one image the (approximate) nearest neighbor in the other one has to be found and checked against the second-nearest neighbor to ensure the correspondence is unambiguous. Here, we asked the question how to best decimate the list of interest points without losing matches, i.e. we aim to speed up matching by filtering out, in advance, those points which would not survive the matching stage. It turns out that the best filtering criterion is not the response of the interest point detector, which in fact is not surprising: the goal of detection are repeatable and well-localized points, whereas the objective of the selection are points whose descriptors can be matched successfully. We show that one can in fact learn to predict which descriptors are matchable, and thus reduce the number of interest points significantly without losing too many matches. We show that this strategy, as simple as it is, greatly improves the matching success with the same number of points per image. Moreover, we embed the prediction in a state-of-the-art Structure-from-Motion pipeline and demonstrate that it also outperforms other selection methods at system level.",http://openaccess.thecvf.com//www.cv-foundation.org/,"Predicting,Matchability","Wilfried Hartmann,Michal Havlena,Konrad Schindler,"
2,Trinocular Geometry Revisited,"When do the visual rays associated with triplets of point correspondences converge, that is, intersect in a common point? Classical models of trinocular geometry based on the fundamental matrices and trifocal tensor associated with the corresponding cameras only provide partial answers to this fundamental question, in large part because of underlying, but seldom explicit, general configuration assumptions. This paper uses elementary tools from projective line geometry to provide necessary and sufficient geometric and analytical conditions for convergence in terms of transversals to triplets of visual rays, without any such assumptions. In turn, this yields a novel and simple minimal parameterization of trinocular geometry for cameras with non-collinear or collinear pinholes.",http://openaccess.thecvf.com//www.cv-foundation.org/,"Trinocular,Geometry,Revisited","Jean Ponce,Martial Hebert,"
3,Critical Configurations For Radial Distortion Self-Calibration,"In this paper, we study the configurations of motion and structure that lead to inherent ambiguities in radial distortion estimation  (or 3D reconstruction with unknown radial distortions). By analyzing the motion field of radially distorted images, we solve for critical surface pairs that can lead to the same motion field under different radial distortions and possibly different camera motions. We study the properties of the discovered critical configurations and discuss the practically important configurations that often occur in real applications. We demonstrate the impact of the radial distortion ambiguity on multi-view reconstruction with synthetic experiments and real experiments.",http://openaccess.thecvf.com//www.cv-foundation.org/,"Critical,Configurations,For,Radial,Distortion,Self-Calibration","Changchang Wu,"
4,Minimal Solvers for Relative Pose with a Single Unknown Radial Distortion,"In this paper, we study the problems of estimating relative pose between two cameras in the presence of radial distortion.  Specifically, we consider minimal problems where one of the cameras has no or known radial distortion.  There are three useful cases for this setup with a single unknown distortion: (i) fundamental matrix estimation where the two cameras are uncalibrated, (ii) essential matrix estimation for a partially calibrated camera pair, (iii) essential matrix estimation for one calibrated camera and one camera with unknown focal length. We study the parameterization of these three problems and derive fast polynomial solvers based on Grobner basis methods.  We demonstrate the numerical stability of the solvers on synthetic data.  The minimal solvers have also been applied to real imagery with convincing results",http://openaccess.thecvf.com//www.cv-foundation.org/,"Minimal,Solvers,for,Relative,Pose,with,a,Single,Unknown,Radial,Distortion","Yubin Kuang,Jan E. Solem,Fredrik Kahl,Kalle Astrom,"
5,Reconstructing PASCAL VOC,"We address the problem of populating object category detection datasets with dense, per-object 3D reconstructions, bootstrapped from class labels, ground truth figure-ground segmentations and a small set of keypoint annotations. Our proposed algorithm first estimates camera viewpoint using rigid structure-from-motion, then reconstructs object shapes by optimizing over visual hull proposals guided by loose within-class shape similarity assumptions. The visual hull sampling process attempts to intersect an object's projection cone with the cones of minimal subsets of other similar objects among those pictured from certain vantage points. We show that our method is able to produce convincing per-object 3D reconstructions on one of the most challenging existing object-category detection datasets, PASCAL VOC. Our results may re-stimulate once popular geometry-oriented model-based recognition approaches.",http://openaccess.thecvf.com//www.cv-foundation.org/,"Reconstructing,PASCAL,VOC","Sara Vicente,Joao Carreira,Lourdes Agapito,Jorge Batista,"
6,Spectral Graph Reduction for Efficient Image and Streaming Video Segmentation,"Computational and memory costs restrict spectral techniques to rather small graphs, which is a serious limitation especially in video segmentation. In this paper, we propose the use of a reduced graph based on superpixels. In contrast to previous work, the reduced graph is reweighted such that the resulting segmentation is equivalent, under certain assumptions, to that of the full graph. We consider equivalence in terms of the normalized cut and of its spectral clustering relaxation. The proposed method reduces runtime and memory consumption and yields on par results in image and video segmentation. Further, it enables an efficient data representation and update for a new streaming video segmentation approach that also achieves state-of-the-art performance.",http://openaccess.thecvf.com//www.cv-foundation.org/,"Spectral,Graph,Reduction,for,Efficient,Image,and,Streaming,Video,Segmentation","Fabio Galasso,Margret Keuper,Thomas Brox,Bernt Schiele,"
7,Weakly Supervised Multiclass Video Segmentation,"The desire of enabling computers to learn semantic concepts from large quantities of Internet videos has motivated increasing interests on semantic video understanding, while video segmentation is important yet challenging for understanding videos. The main difficulty of video segmentation arises from the burden of labeling training samples, making the problem largely unsolved. In this paper, we present a novel nearest neighbor-based label transfer scheme for weakly supervised video segmentation. Whereas previous weakly supervised video segmentation methods have been limited to the two-class case, our proposed scheme focuses on more challenging multiclass video segmentation, which finds a semantically meaningful label for every pixel in a video. Our scheme enjoys several favorable properties when compared with conventional methods. First, a weakly supervised hashing procedure is carried out to handle both metric and semantic similarity. Second, the proposed nearest neighbor-based label transfer algorithm effectively avoids overfitting caused by weakly supervised data. Third, a multi-video graph model is built to encourage smoothness between regions that are spatiotemporally adjacent and similar in appearance. We demonstrate the effectiveness of the proposed scheme by comparing it with several other state-of-the-art weakly supervised segmentation methods on one new Wild8 dataset and two other publicly available datasets.",http://openaccess.thecvf.com//www.cv-foundation.org/,"Weakly,Supervised,Multiclass,Video,Segmentation","Xiao Liu,Dacheng Tao,Mingli Song,Ying Ruan,Chun Chen,Jiajun Bu,"
8,Video Motion Segmentation Using New Adaptive Manifold Denoising Model,"Video motion segmentation techniques automatically segment and track objects and regions from videos or image sequences as a primary processing step for many computer vision applications. We propose a novel motion segmentation approach for both rigid and non-rigid objects using adaptive manifold denoising.  We first introduce an adaptive kernel space in which two feature trajectories are mapped into the same point if they belong to the same rigid object. After that, we employ an embedded manifold denoising approach with the adaptive kernel to segment the motion of rigid and non-rigid objects. The major observation is that the non-rigid objects often lie on a smooth manifold with deviations which can be removed by manifold denoising. We also show that performing manifold denoising on the kernel space is equivalent to doing so on its range space, which theoretically justifies the embedded manifold denoising on the adaptive kernel space. Experimental results indicate that our algorithm, named Adaptive Manifold Denoising (AMD), is suitable for both rigid and non-rigid motion segmentation. Our algorithm works well in many cases where several state-of-the-art algorithms fail.",http://openaccess.thecvf.com//www.cv-foundation.org/,"Video,Motion,Segmentation,Using,New,Adaptive,Manifold,Denoising,Model","Dijun Luo,Heng Huang,"
9,"Cut, Glue & Cut: A Fast, Approximate Solver for Multicut Partitioning","Recently, unsupervised image segmentation has become increasingly popular. Starting from a superpixel segmentation, an edge-weighted region adjacency graph is constructed. Amongst all segmentations of the graph, the one which best conforms to the given image evidence, as measured by the sum of cut edge weights, is chosen.  Since this problem is NP-hard, we propose a new approximate solver based on the move-making paradigm: first, the graph is recursively partitioned into small regions (cut phase). Then, for any two adjacent regions, we consider alternative cuts of these two regions defining possible moves (glue & cut phase). For planar problems, the optimal move can be found, whereas for non-planar problems, efficient approximations exist.  We evaluate our algorithm on published and new benchmark datasets, which we make available here. The proposed algorithm finds segmentations that, as measured by a loss function, are as close to the ground-truth as the global optimum found by exact solvers. It does so significantly faster then existing approximate methods, which is important for large-scale problems.",http://openaccess.thecvf.com//www.cv-foundation.org/,"Cut,,Glue,&,Cut:,A,Fast,,Approximate,Solver,for,Multicut,Partitioning","Thorsten Beier,Thorben Kroeger,Jorg H. Kappes,Ullrich Kothe,Fred A. Hamprecht,"
